Classifier,Params,Mean Accuracy,Std Accuracy
Random Forest,"{'max_depth': 30, 'max_features': 'log2', 'n_estimators': 200}",0.8741935483870968,0.057274595019027354
Random Forest,"{'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 500}",0.8673118279569894,0.05617639002429227
Random Forest,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 300}",0.8608602150537635,0.06474725624752635
Random Forest,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300}",0.8608602150537635,0.06474725624752635
Random Forest,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 500}",0.8608602150537635,0.044384512719648266
Random Forest,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 300}",0.8608602150537635,0.06474725624752635
Random Forest,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",0.8606451612903226,0.04953057475527542
Random Forest,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",0.8544086021505377,0.08031502317946326
Random Forest,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500}",0.8544086021505377,0.05778747128233431
Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.8541935483870968,0.04550102627743342
Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 300}",0.8541935483870968,0.06551767406220942
Random Forest,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500}",0.8541935483870968,0.04550102627743342
Random Forest,"{'max_depth': 30, 'max_features': 'log2', 'n_estimators': 100}",0.853978494623656,0.054728542091479974
Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.8477419354838711,0.06513537935452764
Random Forest,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 300}",0.8477419354838711,0.04494880889896865
Random Forest,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 200}",0.8477419354838711,0.04494880889896865
Random Forest,"{'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 200}",0.8477419354838711,0.033637873484319944
Random Forest,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 500}",0.8475268817204302,0.05450414493631429
Random Forest,"{'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 100}",0.8473118279569893,0.035014821036508985
Random Forest,"{'max_depth': 30, 'max_features': 'log2', 'n_estimators': 500}",0.8410752688172044,0.053242204490410866
Random Forest,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 500}",0.8408602150537636,0.04477045422498141
Random Forest,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.8408602150537636,0.03949619129823421
Random Forest,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.8408602150537634,0.03949619129823421
Random Forest,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.8408602150537634,0.057773063834666835
Random Forest,"{'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 300}",0.8408602150537634,0.04948573547958644
Random Forest,"{'max_depth': 30, 'max_features': 'log2', 'n_estimators': 300}",0.8408602150537634,0.06501242799444869
Random Forest,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 300}",0.8346236559139786,0.05506132340566524
Random Forest,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.8346236559139786,0.05506132340566524
Random Forest,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",0.8344086021505376,0.06328210499119799
Random Forest,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",0.8341935483870968,0.0703505255054621
Random Forest,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.8281720430107526,0.06329452779061386
Random Forest,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.8275268817204301,0.05400205115086281
SVM,"{'C': 1, 'kernel': 'rbf'}",0.8804301075268818,0.05458893147399726
SVM,"{'C': 10, 'kernel': 'rbf'}",0.8735483870967741,0.07743309316575092
SVM,"{'C': 100, 'kernel': 'rbf'}",0.8735483870967741,0.07743309316575092
SVM,"{'C': 1000, 'kernel': 'rbf'}",0.8735483870967741,0.07743309316575092
SVM,"{'C': 0.1, 'kernel': 'linear'}",0.8408602150537636,0.0650124279944487
SVM,"{'C': 100, 'kernel': 'poly'}",0.8273118279569893,0.08059955699801397
SVM,"{'C': 1000, 'kernel': 'poly'}",0.8273118279569893,0.08059955699801397
SVM,"{'C': 10, 'kernel': 'poly'}",0.8073118279569893,0.07203305981669578
SVM,"{'C': 1, 'kernel': 'linear'}",0.7948387096774193,0.06408241311916915
SVM,"{'C': 10, 'kernel': 'linear'}",0.7948387096774193,0.06408241311916915
SVM,"{'C': 100, 'kernel': 'linear'}",0.7948387096774193,0.06408241311916915
SVM,"{'C': 1000, 'kernel': 'linear'}",0.7948387096774193,0.06408241311916915
SVM,"{'C': 1, 'kernel': 'poly'}",0.7741935483870968,0.05875731652608282
SVM,"{'C': 1, 'kernel': 'sigmoid'}",0.7679569892473117,0.07366148632873336
SVM,"{'C': 10, 'kernel': 'sigmoid'}",0.6290322580645161,0.026002836989577355
SVM,"{'C': 100, 'kernel': 'sigmoid'}",0.5767741935483871,0.0725869372023799
SVM,"{'C': 1000, 'kernel': 'sigmoid'}",0.5765591397849462,0.06120688529292234
SVM,"{'C': 0.1, 'kernel': 'sigmoid'}",0.3703225806451612,0.043292624759173004
SVM,"{'C': 0.1, 'kernel': 'poly'}",0.31053763440860216,0.0602242696480593
SVM,"{'C': 0.1, 'kernel': 'rbf'}",0.2847311827956989,0.015167008759144477
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.7815053763440861,0.05387257740174535
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.7810752688172042,0.06950130404337687
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.7810752688172042,0.06950130404337687
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",0.7748387096774192,0.057252788893209505
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.7746236559139785,0.06853976332007422
XGBoost,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.7744086021505376,0.06218513008360488
XGBoost,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.7681720430107527,0.03663874950216875
XGBoost,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}",0.7681720430107526,0.055858533303878015
XGBoost,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.7681720430107526,0.055858533303878015
XGBoost,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 200}",0.7681720430107526,0.055858533303878015
XGBoost,"{'learning_rate': 0.1, 'max_depth': 15, 'n_estimators': 500}",0.7681720430107526,0.055858533303878015
